2026-04-30 17:30:11 | DocProcessingActor | INFO | doc_actor.py:109 | [p1-rag-evals_10:DocProcessingActor] Document index built successfully
2026-04-30 17:30:11 | DocProcessingActor | INFO | doc_actor.py:134 | [p1-rag-evals_10:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-04-30 17:30:11 | DocProcessingActor | INFO | doc_actor.py:144 | [p1-rag-evals_10:DocProcessingActor] FAISS index serialized: 245668 bytes
2026-04-30 17:30:11 | DocProcessingActor | INFO | doc_actor.py:189 | [p1-rag-evals_10:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-04-30 17:30:17 | DocProcessingActor | INFO | doc_actor.py:109 | [p1-rag-evals_10:DocProcessingActor] Document index built successfully
2026-04-30 17:30:17 | DocProcessingActor | INFO | doc_actor.py:134 | [p1-rag-evals_10:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-04-30 17:30:17 | DocProcessingActor | INFO | doc_actor.py:144 | [p1-rag-evals_10:DocProcessingActor] FAISS index serialized: 505896 bytes
2026-04-30 17:30:17 | DocProcessingActor | INFO | doc_actor.py:189 | [p1-rag-evals_10:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-04-30 17:30:17 | Controller | INFO | controller.py:482 | [p1-rag-evals_10:Controller] Built context 1 (608092d5...) successfully in 41.37s
2026-04-30 17:30:17 | Controller | INFO | controller.py:482 | [p1-rag-evals_10:Controller] Built context 2 (6522fb50...) successfully in 41.38s
2026-04-30 17:30:17 | Controller | INFO | controller.py:482 | [p1-rag-evals_10:Controller] Built context 3 (26707554...) successfully in 41.38s
2026-04-30 17:30:17 | Controller | INFO | controller.py:482 | [p1-rag-evals_10:Controller] Built context 4 (2ad34c0d...) successfully in 41.38s
2026-04-30 17:30:39 | DocProcessingActor | INFO | doc_actor.py:59 | [p1-rag-evals_10:DocProcessingActor] DocProcessingActor initialized
2026-04-30 17:30:39 | DocProcessingActor | INFO | doc_actor.py:59 | [p1-rag-evals_10:DocProcessingActor] DocProcessingActor initialized
2026-04-30 17:30:40 | DocProcessingActor | INFO | doc_actor.py:96 | [p1-rag-evals_10:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-04-30 17:30:40 | DocProcessingActor | INFO | doc_actor.py:107 | [p1-rag-evals_10:DocProcessingActor] Building document index...
2026-04-30 17:30:40 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-small-en-v1.5.
2026-04-30 17:30:41 | DocProcessingActor | INFO | doc_actor.py:96 | [p1-rag-evals_10:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-04-30 17:30:41 | DocProcessingActor | INFO | doc_actor.py:107 | [p1-rag-evals_10:DocProcessingActor] Building document index...
2026-04-30 17:30:41 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-small-en-v1.5.
2026-04-30 17:31:14 | DocProcessingActor | INFO | doc_actor.py:109 | [p1-rag-evals_10:DocProcessingActor] Document index built successfully
2026-04-30 17:31:14 | DocProcessingActor | INFO | doc_actor.py:134 | [p1-rag-evals_10:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-04-30 17:31:14 | DocProcessingActor | INFO | doc_actor.py:144 | [p1-rag-evals_10:DocProcessingActor] FAISS index serialized: 240640 bytes
2026-04-30 17:31:14 | DocProcessingActor | INFO | doc_actor.py:189 | [p1-rag-evals_10:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-04-30 17:31:14 | Controller | INFO | controller.py:482 | [p1-rag-evals_10:Controller] Built context 5 (8a77f0fd...) successfully in 98.53s
2026-04-30 17:31:17 | DocProcessingActor | INFO | doc_actor.py:109 | [p1-rag-evals_10:DocProcessingActor] Document index built successfully
2026-04-30 17:31:17 | DocProcessingActor | INFO | doc_actor.py:134 | [p1-rag-evals_10:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-04-30 17:31:17 | DocProcessingActor | INFO | doc_actor.py:144 | [p1-rag-evals_10:DocProcessingActor] FAISS index serialized: 522656 bytes
2026-04-30 17:31:17 | DocProcessingActor | INFO | doc_actor.py:189 | [p1-rag-evals_10:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-04-30 17:31:17 | Controller | INFO | controller.py:482 | [p1-rag-evals_10:Controller] Built context 6 (908c3294...) successfully in 100.87s
2026-04-30 17:31:17 | Controller | INFO | controller.py:523 | [p1-rag-evals_10:Controller] Completed parallel context building for 6 context(s)
2026-04-30 17:31:17 | Controller | INFO | controller.py:920 | [p1-rag-evals_10:Controller] Created 8 query processing actors (generic pool)
2026-04-30 17:31:17 | Experiment | INFO | metric_rfmetric_manager.py:141 | [p1-rag-evals_10:Experiment] Created MLflow run: 49a8c3a37e724c4e8842fecbe5ba69a2, 1
2026-04-30 17:31:17 | Experiment | INFO | metric_rfmetric_manager.py:141 | [p1-rag-evals_10:Experiment] Created MLflow run: 07f465c5edb44dd4be9dc2877da51db5, 2
2026-04-30 17:31:17 | Experiment | INFO | metric_rfmetric_manager.py:141 | [p1-rag-evals_10:Experiment] Created MLflow run: b77f2cbc9415422592eff4e95c9d613f, 3
2026-04-30 17:31:17 | Experiment | INFO | metric_rfmetric_manager.py:141 | [p1-rag-evals_10:Experiment] Created MLflow run: f90e57bdc21d410ba057b03022378c83, 4
2026-04-30 17:31:17 | Experiment | INFO | metric_rfmetric_manager.py:141 | [p1-rag-evals_10:Experiment] Created MLflow run: 458835f42205411f8579989cd6069344, 5
2026-04-30 17:31:17 | Experiment | INFO | metric_rfmetric_manager.py:141 | [p1-rag-evals_10:Experiment] Created MLflow run: a5f1bc0db32042d1860efa02c843b3a6, 6
2026-04-30 17:31:17 | Experiment | INFO | metric_rfmetric_manager.py:141 | [p1-rag-evals_10:Experiment] Created MLflow run: 3f5e44eb174f41589da2b5f45fb301e8, 7
2026-04-30 17:31:17 | Experiment | INFO | metric_rfmetric_manager.py:141 | [p1-rag-evals_10:Experiment] Created MLflow run: 7fc25dfb77d7476a8918590af6e98c9f, 8
2026-04-30 17:31:17 | Controller | INFO | controller.py:931 | [p1-rag-evals_10:Controller] Initialized scheduler with 8 pipelines, 8 actors, 4 shards
2026-04-30 17:31:17 | Controller | INFO | controller.py:1118 | [p1-rag-evals_10:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-04-30 17:31:17 | Controller | INFO | controller.py:1124 | [p1-rag-evals_10:Controller] Starting multi-pipeline inference scheduling...
2026-04-30 17:31:17 | Controller | INFO | controller.py:1422 | [p1-rag-evals_10:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-04-30 17:31:43 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [p1-rag-evals_10:QueryProcessingActor-0] Initializing new inference engine (config hash: 190e7a05)
2026-04-30 17:31:44 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-04-30 17:31:45 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [p1-rag-evals_10:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-04-30 17:31:45 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [p1-rag-evals_10:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-04-30 17:31:45 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [p1-rag-evals_10:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-04-30 17:31:45 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [p1-rag-evals_10:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-04-30 17:31:45 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [p1-rag-evals_10:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-04-30 17:31:45 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [p1-rag-evals_10:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-04-30 17:31:45 | Controller | INFO | controller.py:1422 | [p1-rag-evals_10:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
